keyword,url,title,title_cleaned,keyword_cleaned,title_filtered_tokens,question_text_validated,question_type,question_length,extracted_entities,funnel_stage,confidence
pr,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1502383-balancing-my-business-growing-online-presence-while-managing-projects.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Balancing My Business and Growing Online Presence While Managing Projects,balancing my business and growing online presence while managing projects,pr,balancing business growing online presence managing projects,,other,0,[],MOFU,0.3979648947715759
seo,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1502082-seo-aeo.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,SEO or AEO?,seo or aeo,seo,seo aeo,,other,0,[],TOFU,0.41999387741088867
marketing,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1500057-best-digital-marketing-skills-beginners-2025-what-s-demand.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Best Digital Marketing Skills for Beginners in 2025 - What's in Demand?,best digital marketing skills for beginners in 2025 whats in demand,marketing,best digital marketing skills beginners 2025 whats demand,,other,0,"[{'text': 'Digital Marketing Skills', 'start': 5, 'end': 29, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}, {'text': '2025', 'start': 47, 'end': 51, 'label': 'DATE', 'label_desc': 'Absolute or relative dates or periods'}]",TOFU,0.3761528730392456
traffic,https://www.warriorforum.com/showthread.php?t=1500979&utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Traffic Drop After Google's December Update - Seeking Recovery Tips,traffic drop after googles december update seeking recovery tips,traffic,traffic drop googles december update seeking recovery tips,,other,0,"[{'text': 'Traffic Drop', 'start': 0, 'end': 12, 'label': 'PERSON', 'label_desc': 'People, including fictional'}, {'text': 'Google', 'start': 19, 'end': 25, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}, {'text': 'December', 'start': 28, 'end': 36, 'label': 'DATE', 'label_desc': 'Absolute or relative dates or periods'}, {'text': 'Update - Seeking Recovery Tips', 'start': 37, 'end': 67, 'label': 'EVENT', 'label_desc': 'Named hurricanes, battles, wars, sports events, etc.'}]",MOFU,0.40144363045692444
social media,https://www.warriorforum.com/learn-forum/1500811-social-media-funnels-explained-graphically.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Social media funnels explained...graphically,social media funnels explainedgraphically,social media,social media funnels explainedgraphically,,other,0,[],TOFU,0.36508896946907043
marketing,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1501083-having-website-analytics-tool-installed-your-website-helping-you-marketing.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Is having website analytics tool installed on your website helping you with marketing ?,is having website analytics tool installed on your website helping you with marketing,marketing,website analytics tool installed website helping marketing,is having website analytics tool installed on your website helping you with marketing,boolean,13,[],TOFU,0.5115363597869873
pr,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1499862-how-can-i-start-where-cold-emailing-forbidden-germany-since-gdpr-paid-networking.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,"How can I start and where? Cold emailing is forbidden in GERMANY, since GDPR, which paid networking",how can i start and where cold emailing is forbidden in germany since gdpr which paid networking,pr,start cold emailing forbidden germany since gdpr paid networking,how can i start and where cold emailing is forbidden in germany since gdpr which paid networking,instructional,17,"[{'text': 'GERMANY', 'start': 57, 'end': 64, 'label': 'GPE', 'label_desc': 'Countries, cities, states'}, {'text': 'GDPR', 'start': 72, 'end': 76, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}]",MOFU,0.44317615032196045
traffic,https://www.warriorforum.com/search-engine-optimization/1498534-backlink-websites-traffic-0-helpful-ranking.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Is backlink from websites which traffic is 0 helpful for ranking?,is backlink from websites which traffic is 0 helpful for ranking,traffic,backlink websites traffic 0 helpful ranking,is backlink from websites which traffic is 0 helpful for ranking,boolean,11,"[{'text': '0', 'start': 43, 'end': 44, 'label': 'CARDINAL', 'label_desc': 'Numerals that do not fall under another type'}]",TOFU,0.4132612645626068
campaign,https://www.warriorforum.com/artificial-intelligence/1497426-coca-colas-ai-holiday-campaign-blunder.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Coca-Cola's AI holiday campaign is a blunder,cocacolas ai holiday campaign is a blunder,campaign,cocacolas ai holiday campaign blunder,,other,0,"[{'text': ""Coca-Cola's"", 'start': 0, 'end': 11, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}]",TOFU,0.4290250837802887
retention,https://www.warriorforum.com/showthread.php?t=1497424&utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Customer retention hacks you need to know,customer retention hacks you need to know,retention,customer retention hacks need know,,other,0,[],MOFU,0.4112852215766907
social media,https://www.warriorforum.com/learn-forum/1496833-what-social-media-will-like-2025-a.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,What social media will be like in 2025,what social media will be like in 2025,social media,social media like 2025,what social media will be like in 2025,informational,8,"[{'text': '2025', 'start': 34, 'end': 38, 'label': 'DATE', 'label_desc': 'Absolute or relative dates or periods'}]",MOFU,0.42151302099227905
pr,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1488072-should-you-include-faqs-product-category-pages.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Should you include FAQs on product or category pages?,should you include faqs on product or category pages,pr,include faqs product category pages,should you include faqs on product or category pages,boolean,9,[],TOFU,0.43160757422447205
branding,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1481681-share-examples-successful-domain-website-rebranding-stories.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Share examples of successful domain/website rebranding stories?,share examples of successful domainwebsite rebranding stories,branding,share examples successful domainwebsite rebranding stories,,other,0,[],TOFU,0.3993043601512909
pr,https://www.warriorforum.com/artificial-intelligence/1478493-how-would-you-use-ai-improve-your-workflow-business.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,How would you use AI to improve your workflow/business?,how would you use ai to improve your workflowbusiness,pr,would use ai improve workflowbusiness,how would you use ai to improve your workflowbusiness,instructional,9,"[{'text': 'AI', 'start': 18, 'end': 20, 'label': 'GPE', 'label_desc': 'Countries, cities, states'}]",TOFU,0.4264400899410248
sales,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1478457-amazon-international-sales.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Amazon International Sales,amazon international sales,sales,amazon international sales,,other,0,"[{'text': 'Amazon International Sales', 'start': 0, 'end': 26, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}]",MOFU,0.38346588611602783
marketing,https://www.warriorforum.com/offline-marketing/1478190-right-time-again-sms-marketing.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Is it the right time again for SMS marketing?,is it the right time again for sms marketing,marketing,right time sms marketing,is it the right time again for sms marketing,boolean,9,[],TOFU,0.36157310009002686
seo,https://www.warriorforum.com/search-engine-optimization/1478006-does-guest-blogging-still-work-seo.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Does guest blogging still work for SEO?,does guest blogging still work for seo,seo,guest blogging still work seo,does guest blogging still work for seo,boolean,7,"[{'text': 'SEO', 'start': 35, 'end': 38, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}]",TOFU,0.4326058328151703
strategy,https://www.warriorforum.com/search-engine-optimization/1477786-does-b2c-website-need-external-link-strategy.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Does a B2C website need an external link strategy?,does a b2c website need an external link strategy,strategy,b2c website need external link strategy,does a b2c website need an external link strategy,boolean,9,[],BOFU,0.36455073952674866
ppc,https://www.warriorforum.com/pay-per-click-search-engine-marketing-ppc-sem/1477174-5-quick-hacks-reignite-your-ppc-strategy.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,5 quick hacks to reignite your PPC strategy,5 quick hacks to reignite your ppc strategy,ppc,5 quick hacks reignite ppc strategy,,other,0,"[{'text': '5', 'start': 0, 'end': 1, 'label': 'CARDINAL', 'label_desc': 'Numerals that do not fall under another type'}, {'text': 'PPC', 'start': 31, 'end': 34, 'label': 'ORG', 'label_desc': 'Companies, agencies, institutions, etc.'}]",TOFU,0.39188089966773987
strategy,https://www.warriorforum.com/beginners-area/1477125-what-should-link-building-strategy-new-site.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,What should be the link building strategy for a new site?,what should be the link building strategy for a new site,strategy,link building strategy new site,what should be the link building strategy for a new site,informational,11,[],TOFU,0.3900459408760071
pr,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1475273-40-commission-too-risky-young-brand-stark-off-affiliate-program.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Is 40% commission too risky for a young brand to stark off an affiliate program,is 40 commission too risky for a young brand to stark off an affiliate program,pr,40 commission risky young brand stark affiliate program,is 40 commission too risky for a young brand to stark off an affiliate program,boolean,15,"[{'text': '40%', 'start': 3, 'end': 6, 'label': 'PERCENT', 'label_desc': 'Percentage, including ""%""'}]",TOFU,0.42064547538757324
marketing,https://www.warriorforum.com/main-internet-marketing-discussion-forum/1474382-would-good-idea-create-own-work-while-going-through-digital-marketing-certificate.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Would it be a good idea to create own work while going through a digital marketing certificate?,would it be a good idea to create own work while going through a digital marketing certificate,marketing,would good idea create work going digital marketing certificate,would it be a good idea to create own work while going through a digital marketing certificate,boolean,17,[],MOFU,0.3506181240081787
copywriting,https://www.warriorforum.com/copywriting/1471529-copywriting-its-challenges.html?utm_source=internal&utm_medium=discussion-list&utm_campaign=feed&utm_term=title,Copywriting and it's Challenges,copywriting and its challenges,copywriting,copywriting challenges,,other,0,[],TOFU,0.4096565842628479
